province_en,Longtitude,Latitude,Attributes,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Fujian,118.3,26.08333,Rain,17.299,44.76,36.792,37.044,37.023,44.446,35.455,38.902,38.951,47.436,45.637,50.811,41.982,41.668,36.068,27.291,29.958
Jiangxi,115.9,28.68333,AT,180.439,183.942,186.423,181.042,185.1,176.313,178.584,177.044,187.911,185.497,184.781,187.379,187.324,187.179,186.666,188.739,194.308
Jiangxi,115.9,28.68333,DPT,130.246,135.297,132.193,125.615,128.881,121.585,122.658,135.362,133.348,136.497,144.245,145.44,140.221,139.951,136.63,141.754,142.61
Jiangxi,115.9,28.68333,SLP,10154.034,10149.826,10149.153,10154.228,10147.836,10157.234,10158.486,10145.179,10150.375,10152.73,10154.739,10152.088,10158.681,10150.115,10152.355,10156.062,10148.365
Jiangxi,115.9,28.68333,WSR,19.637,18.554,19.36,18.627,18.736,19.075,18.166,17.549,19.958,18.996,19.589,19.521,19.594,19.797,19.364,20.269,20.221
Jiangxi,115.9,28.68333,Rain,18.545,39.386,31.266,35.859,33.587,46.304,33.751,41.196,38.105,47.363,49.442,53.513,46.133,42.546,39.884,28.413,24.502
Shandong,117.000923,36.675807,AT,128.949,137.234,137.266,130.135,132.229,126.977,125.556,127.346,131.844,138.408,135.677,138.641,140.89,138.561,140.822,137.761,141.241
Shandong,117.000923,36.675807,DPT,50.636,68.365,72.084,58.756,57.15,55.144,48.778,56.651,62.639,63.944,65.106,66.369,61.802,62.685,59.441,65.961,70.031
Shandong,117.000923,36.675807,SLP,10169.705,10166.448,10166.566,10171.624,10166.877,10168.409,10180.253,10167.615,10165.994,10173.409,10174.428,10171.806,10174.167,10170.669,10180.556,10174.544,10166.039
Shandong,117.000923,36.675807,WSR,33.657,31.925,29.903,30.223,29.811,30.798,28.169,28.703,30.881,29.278,29.782,30.446,29.941,30.902,29.029,28.433,29.858
Shandong,117.000923,36.675807,Rain,9.23,30.905,40.118,35.418,39.052,43.08,39.626,36.052,43.001,36.862,36.966,43.991,41.984,45.997,28.307,21.465,20.996
Henan,113.65,34.76667,AT,161.612,159.228,159.174,153.863,153.248,153.736,150.644,154.001,161.853,158.416,155.999,161.755,163.063,162.401,163.546,163.108,166.23
Henan,113.65,34.76667,DPT,94.834,92.685,89.585,80.735,84.137,77.031,68.195,73.112,84.275,85.986,88.215,90.04,85.102,83.64,78.306,87.405,90.773
Henan,113.65,34.76667,SLP,10174.782,10162.739,10163.38,10168.45,10163.56,10164.295,10176.492,10162.124,10159.903,10169.644,10170.854,10166.856,10170.69,10164.539,10168.038,10168.013,10161.1
Henan,113.65,34.76667,WSR,32.805,21.897,20.68,20.15,19.988,20.008,18.889,18.807,20.834,23.639,23.694,23.845,24.107,24.946,23.791,22.818,23.919
Henan,113.65,34.76667,Rain,9.626,31.936,33.873,34.207,30.273,38.23,32.167,29.049,31.072,35.825,36.235,43.42,41.821,41.638,23.59,17.529,23.973
Hubei,114.298572,30.584355,AT,166.8,174.158,216.007,166.582,167.519,156.693,165.467,164.518,173.751,167.433,167.917,171.346,171.061,173.276,172.739,169.594,174.881
Hubei,114.298572,30.584355,DPT,112.074,120.529,161.505,107.593,114.926,107.665,103.103,109.608,113.021,114.452,119.889,119.836,120.659,119.967,116.447,122.528,125.194
Hubei,114.298572,30.584355,SLP,10163.923,10160.432,10117.121,10165.358,10159.728,10156.385,10169.274,10157.376,10155.067,10163.978,10164.52,10161.381,10166.155,10158.003,10169.942,10171.721,10163.139
Hubei,114.298572,30.584355,WSR,18.835,18.936,19.594,17.738,18.036,16.4,18.207,17.188,19.498,19.728,19.483,21.367,20.612,21.541,20.452,19.386,19.77
Hubei,114.298572,30.584355,Rain,11.884,26.842,30.839,33.53,26.79,32.928,30.656,26.29,40.046,33.058,34.783,42.784,41.02,35.818,21.641,24.999,23.291
